sample_ID,geo_loc_name,species,observed,shannon,richness_0,richness_20,richness_50,richness_80,diversities_inverse_simpson,diversities_gini_simpson,diversities_shannon,diversities_fisher,diversities_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_noncore_abundance,rarity_rare_abundance
SRR6442783,Estrecho de Magallanes,Megaptera novaeangliae,53,2.182279837,53,53,53,53,6.159018072,0.837636456,2.182279837,5.945353516,3,0.031090848,0.549652238,0.028513973,0.070817546,0.069126609,0.3204215,0.470433937,14170,0.3204215,0.162363544,0.873708251,0.968909152,2.047839934,0.009859123,0.018361486,0.018361486
SRR6442784,Estrecho de Magallanes,Megaptera novaeangliae,29,1.578104209,29,29,29,29,3.402508029,0.706099151,1.578104209,3.311153936,2,0.01811942,0.468656242,0.015752352,0.078973878,0.05175495,0.381325358,0.753489034,8033,0.381325358,0.293900849,0.941042438,0.98188058,2.05430058,0.007547707,0.00341783,0.00341783
SRR6442785,Estrecho de Magallanes,Megaptera novaeangliae,35,1.260720054,35,35,35,35,2.562158968,0.609704155,1.260720054,3.616161831,1,0.012587296,0.354598209,0.011861847,0.064602218,0.029976665,0.568901046,0.806384599,32862,0.568901046,0.390295845,0.958365072,0.987412704,2.05167448,0.002060107,0.00038086,0.00038086
SRR6442786,Estrecho de Magallanes,Megaptera novaeangliae,33,1.309907684,33,33,33,33,2.813810644,0.644610059,1.309907684,3.463224671,1,0.013156682,0.374633162,0.013026901,0.066818582,0.032296035,0.502173867,0.806494298,23909,0.502173867,0.355389941,0.192266493,0.986843318,2.0554444,0.004368738,0.806788347,0.806788347
SRR6442787,Estrecho de Magallanes,Megaptera novaeangliae,34,1.216537544,34,34,34,34,2.370590143,0.578164111,1.216537544,3.789528089,1,0.012405944,0.344983882,0.010974954,0.075232177,0.029514275,0.617388974,0.768772188,18434,0.617388974,0.421835889,0.993937973,0.987594056,2.052933382,0.003181727,0.000837297,0.000837297
SRR6442788,Estrecho de Magallanes,Megaptera novaeangliae,49,1.450882912,49,49,49,49,2.723140598,0.632776949,1.450882912,5.808397941,1,0.016364088,0.372803162,0.012607132,0.102659895,0.059347017,0.56519628,0.723415381,15132,0.56519628,0.367223051,0.888320323,0.983635912,2.057604667,0.015164531,0.014044,0.014044
SRR6442789,Estrecho de Magallanes,Megaptera novaeangliae,28,0.877960526,28,28,28,28,2.132004523,0.530957843,0.877960526,3.26121606,1,0.010066925,0.263477384,0.009870391,0.100824953,0.02545193,0.516151203,0.965979381,9012,0.516151203,0.469042157,0.982245132,0.989933075,2.0575619,0.006815578,0.014604811,0.014604811
SRR6442790,Estrecho de Magallanes,Megaptera novaeangliae,27,1.233785941,27,27,27,27,2.365952844,0.577337307,1.233785941,3.494974855,1,0.012430904,0.374346787,0.010953485,0.096033698,0.035397741,0.612915456,0.802350562,4850,0.612915456,0.422662693,0.99620877,0.987569096,2.059454919,0.007456085,0.00088462,0.00088462
SRR6442792,Estrecho de Magallanes,Megaptera novaeangliae,24,1.659227022,24,24,24,24,3.274364915,0.694597265,1.659227022,3.350735854,1,0.01921725,0.522089024,0.015159097,0.106290325,0.055348837,0.512962963,0.66087963,2216,0.512962963,0.305402735,0.883796296,0.98078275,2.058916398,0.004166667,0.001157407,0.001157407
SRR6442794,Estrecho de Magallanes,Megaptera novaeangliae,22,1.068212623,22,22,22,22,2.195027211,0.544424782,1.068212623,2.388742315,1,0.010625866,0.345583291,0.010162163,0.064423398,0.032914872,0.609977799,0.893980648,14562,0.609977799,0.455575218,0.996565157,0.989374134,2.054946718,0.002303858,0.000376995,0.000376995
